| Task | Language | Metric | BLOOM-176B | OPT-175B* |
|:--------|:-----------------|:------------------------|-------------:|------------:|
| arc_challenge | eng | acc ↑ | 0.411 | 0.412 |
| arc_easy | eng | acc ↑ | 0.726 | 0.751 |
| axb (Median of 10 prompts) | eng | acc ↑ | 0.575 | 0.532 |
| axg (Median of 10 prompts) | eng | acc ↑ | 0.525 | 0.548 |
| boolq (Median of 11 prompts) | eng | acc ↑ | 0.635 | 0.622 |
| cb (Median of 15 prompts) | eng | acc ↑ | 0.339 | 0.411 |
| cola (Median of 5 prompts) | eng | acc ↑ | 0.39 | 0.444 |
| copa (Median of 9 prompts) | eng | acc ↑ | 0.56 | 0.55 |
| crows_pairs_english (Median of 6 prompts) | eng | acc ↑ | 0.5 | 0.502 |
| crows_pairs_french (Median of 7 prompts) | fra | acc ↑ | 0.506 | 0.499 |
| diabla (Median of 2 prompts) | eng | acc ↑ | 0.295 | 0.289 |
| gsarti/flores_101_afr | afr | byte_perplexity ↓ | 4.254 | 3.381 |
| gsarti/flores_101_amh | amh | byte_perplexity ↓ | 3.717 | 3.87 |
| gsarti/flores_101_ara | ara | byte_perplexity ↓ | 1.705 | 2.42 |
| gsarti/flores_101_asm | asm | byte_perplexity ↓ | 6.577 | 3.028 |
| gsarti/flores_101_ast | ast | byte_perplexity ↓ | 2.856 | 4.737 |
| gsarti/flores_101_azj | azj | byte_perplexity ↓ | 4.807 | 4.767 |
| gsarti/flores_101_bel | bel | byte_perplexity ↓ | 2.731 | 2.557 |
| gsarti/flores_101_ben | ben | byte_perplexity ↓ | 5.993 | 2.243 |
| gsarti/flores_101_bos | bos | byte_perplexity ↓ | 3.594 | 2.668 |
| gsarti/flores_101_bul | bul | byte_perplexity ↓ | 2.159 | 2.099 |
| gsarti/flores_101_cat | cat | byte_perplexity ↓ | 2.168 | 2.837 |
| gsarti/flores_101_ceb | ceb | byte_perplexity ↓ | 5.287 | 3.636 |
| gsarti/flores_101_ces | ces | byte_perplexity ↓ | 3.452 | 2.749 |
| gsarti/flores_101_ckb | ckb | byte_perplexity ↓ | 3.705 | 4.688 |
| gsarti/flores_101_cym | cym | byte_perplexity ↓ | 7.089 | 5.075 |
| gsarti/flores_101_dan | dan | byte_perplexity ↓ | 3.43 | 2.492 |
| gsarti/flores_101_deu | deu | byte_perplexity ↓ | 2.338 | 2.099 |
| gsarti/flores_101_ell | ell | byte_perplexity ↓ | 1.96 | 1.811 |
| gsarti/flores_101_eng | eng | byte_perplexity ↓ | 1.882 | 1.9 |
| gsarti/flores_101_est | est | byte_perplexity ↓ | 5.774 | 3.533 |
| gsarti/flores_101_fas | fas | byte_perplexity ↓ | 2.431 | 2.444 |
| gsarti/flores_101_fin | fin | byte_perplexity ↓ | 4.304 | 2.601 |
| gsarti/flores_101_fra | fra | byte_perplexity ↓ | 1.937 | 1.984 |
| gsarti/flores_101_ful | ful | byte_perplexity ↓ | 9.74 | 11.84 |
| gsarti/flores_101_gle | gle | byte_perplexity ↓ | 6.035 | 3.914 |
| gsarti/flores_101_glg | glg | byte_perplexity ↓ | 2.365 | 3.015 |
| gsarti/flores_101_guj | guj | byte_perplexity ↓ | 5.707 | 2.438 |
| gsarti/flores_101_hau | hau | byte_perplexity ↓ | 8.855 | 5.283 |
| gsarti/flores_101_heb | heb | byte_perplexity ↓ | 2.921 | 2.903 |
| gsarti/flores_101_hin | hin | byte_perplexity ↓ | 5.452 | 1.86 |
| gsarti/flores_101_hrv | hrv | byte_perplexity ↓ | 3.706 | 2.715 |
| gsarti/flores_101_hun | hun | byte_perplexity ↓ | 4.059 | 2.865 |
| gsarti/flores_101_hye | hye | byte_perplexity ↓ | 3.127 | 3.411 |
| gsarti/flores_101_ibo | ibo | byte_perplexity ↓ | 3.95 | 8.008 |
| gsarti/flores_101_ind | ind | byte_perplexity ↓ | 1.976 | 2.632 |
| gsarti/flores_101_isl | isl | byte_perplexity ↓ | 5.501 | 4.701 |
| gsarti/flores_101_ita | ita | byte_perplexity ↓ | 2.314 | 2.104 |
| gsarti/flores_101_jav | jav | byte_perplexity ↓ | 4.942 | 8.16 |
| gsarti/flores_101_jpn | jpn | byte_perplexity ↓ | 2.259 | 2.198 |
| gsarti/flores_101_kam | kam | byte_perplexity ↓ | 9.743 | 10.981 |
| gsarti/flores_101_kan | kan | byte_perplexity ↓ | 6.234 | 2.373 |
| gsarti/flores_101_kat | kat | byte_perplexity ↓ | 2.051 | 2.466 |
| gsarti/flores_101_kaz | kaz | byte_perplexity ↓ | 3.039 | 4.376 |
| gsarti/flores_101_kea | kea | byte_perplexity ↓ | 7.147 | 9.632 |
| gsarti/flores_101_khm | khm | byte_perplexity ↓ | 3.367 | 2.646 |
| gsarti/flores_101_kir | kir | byte_perplexity ↓ | 3.241 | 4.522 |
| gsarti/flores_101_kor | kor | byte_perplexity ↓ | 2.902 | 3.376 |
| gsarti/flores_101_lao | lao | byte_perplexity ↓ | 2.331 | 3.106 |
| gsarti/flores_101_lav | lav | byte_perplexity ↓ | 5.224 | 4.811 |
| gsarti/flores_101_lin | lin | byte_perplexity ↓ | 4.847 | 8.871 |
| gsarti/flores_101_lit | lit | byte_perplexity ↓ | 4.543 | 5.183 |
| gsarti/flores_101_ltz | ltz | byte_perplexity ↓ | 5.591 | 7.158 |
| gsarti/flores_101_lug | lug | byte_perplexity ↓ | 5.43 | 7.399 |
| gsarti/flores_101_luo | luo | byte_perplexity ↓ | 12.031 | 11.951 |
| gsarti/flores_101_mal | mal | byte_perplexity ↓ | 4.794 | 2.054 |
| gsarti/flores_101_mar | mar | byte_perplexity ↓ | 6.857 | 2.274 |
| gsarti/flores_101_mkd | mkd | byte_perplexity ↓ | 2.335 | 2.538 |
| gsarti/flores_101_mlt | mlt | byte_perplexity ↓ | 9.041 | 5.996 |
